    0.350215958553231510E+00    0.211913098476041029E+01   -0.566479659894274391E+03
    0.350642783216176590E+00    0.211700395075301495E+01   -0.565737790397404979E+03
    0.351872646226624730E+00    0.212337892537181583E+01   -0.565648805037778857E+03
    0.356776180025482614E+00    0.216321816985991155E+01   -0.565448907412612243E+03
    0.351454585842253198E+00    0.211542645659464768E+01   -0.565444563904342886E+03
    0.362080312116980219E+00    0.212053134233704421E+01   -0.565422177021428070E+03
    0.359654268634316931E+00    0.211711745559072417E+01   -0.565389226424013600E+03
    0.353864274612052276E+00    0.212629245178066117E+01   -0.565382052846710849E+03
    0.351804270859435664E+00    0.212276453929485287E+01   -0.565221606193028265E+03
    0.359249019847147411E+00    0.211693649637598114E+01   -0.565050947511016830E+03
    0.352284108911749105E+00    0.211520035608666745E+01   -0.564829472454574670E+03
    0.359372862516332381E+00    0.212946552921259480E+01   -0.564774520627846528E+03
    0.363067523949429538E+00    0.212578909734068811E+01   -0.564762748269335361E+03
    0.354383044072320241E+00    0.212636034439064936E+01   -0.564641380973984838E+03
    0.357755917736592322E+00    0.217772149163730822E+01   -0.564607825446655738E+03
    0.361225610033605538E+00    0.212892473752643996E+01   -0.564517747532312228E+03
    0.351605518535589634E+00    0.211661171251642832E+01   -0.564502548538445581E+03
    0.351958740792246982E+00    0.211599286630628169E+01   -0.564480426073129138E+03
    0.362631581586819962E+00    0.212360402263090231E+01   -0.564355224235874516E+03
    0.358052969547467237E+00    0.217766555767734493E+01   -0.564320024704668185E+03
    0.358106207172726232E+00    0.217768465500260655E+01   -0.564312503013369678E+03
    0.352540569620259370E+00    0.211564531126725308E+01   -0.564229768486263652E+03
    0.353864616439756197E+00    0.212523657836478463E+01   -0.564043160997023278E+03
    0.362441579464123032E+00    0.212364092994184039E+01   -0.564024228564926375E+03
    0.352638359711952010E+00    0.212315395998909384E+01   -0.563996088539584548E+03
    0.362581645316798373E+00    0.212505507272764538E+01   -0.563994128557492445E+03
    0.353749881760408336E+00    0.212503105099758072E+01   -0.563990166275447905E+03
    0.353461567242791430E+00    0.212457793925138816E+01   -0.563958495974078573E+03
    0.361136764554643386E+00    0.212839119769419050E+01   -0.563948401823212521E+03
    0.352431350104366214E+00    0.212255512608834751E+01   -0.563887612631116440E+03
    0.358359689347166999E+00    0.217745837041749768E+01   -0.563868098260998977E+03
    0.362464025774439036E+00    0.212449877769908424E+01   -0.563860452124355447E+03
